2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
2855735.73792483,2919764.99009708,2979146.54486203,3034103.08892357,3084797.84741776,3087688.98088663,3085519.93525024,3078677.87326102,3067550.68812619,3052495.01546753,3033841.68315438,3011880.20536064,2986916.41472142,2959239.98785878,2929126.2807233,2873162.46710192,2815005.59638129,2754913.18602911,2693123.43419142,2629822.25112459,2565212.75041895,2499469.86536951,2432812.27517608,2365344.78499363,2297207.14241725
3490343.67968591,3568601.65456309,3641179.11038693,3708348.21979547,3770308.48017726,3773842.08775032,3771191.03197251,3762828.51176347,3749228.6188209,3730827.24112698,3708028.72385535,3681186.917663,3650675.61799284,3616848.87404962,3580043.23199515,3511643.01534679,3440562.39557714,3367116.1162578,3291595.30845618,3214227.19581894,3135260.02828983,3054907.6132294,2973437.22521521,2890976.95943666,2807697.61850997
2855735.73792483,2919764.99009708,2979146.54486203,3034103.08892357,3084797.84741776,3087688.98088663,3085519.93525024,3078677.87326102,3067550.68812619,3052495.01546753,3033841.68315438,3011880.20536064,2986916.41472142,2959239.98785878,2929126.2807233,2873162.46710192,2815005.59638129,2754913.18602911,2693123.43419142,2629822.25112459,2565212.75041895,2499469.86536951,2432812.27517608,2365344.78499363,2297207.14241725
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
