2,1157,1157,1157,1157,1157,1169.5,1182,1194.5,1207,1219.5,1232,1244.5,1257,1269.5,1282,1282,1282,1282,1282,1282,1282,1282,1282,1282,1282
2,810,810,810,810,810,824,838,852,866,880,894,908,922,936,950,950,950,950,950,950,950,950,950,950,950
3,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645
3,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637
2,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6
