2,1096,1096,1096,1096,1096,1107.9,1119.8,1131.7,1143.6,1155.5,1167.4,1179.3,1191.2,1203.1,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215,1215
2,810,810,810,810,810,819,828,837,846,855,864,873,882,891,900,900,900,900,900,900,900,900,900,900,900
3,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645
3,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637
2,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3,35.3
