2,2,0,0,,2,241766.9108797,249308.683153274,257082.880277795,265096.589108106,273357.110496882,337868.509948483,371113.926792486,406068.593782929,442727.786473827,398074.051795974,431209.241255154,465731.401114147,501632.265083152,538902.417096763,577533.948404982,617503.294225068,658791.163877194,701376.359808458,745231.401912425,790330.424492399,836640.868294627,884133.843580824,932774.252674026,982539.323906825,1033386.20104082
2,2,,,,2,688105.823272991,741401.210897831,795325.363344583,849821.728027053,904839.07587825,904295.129568,935625.252054296,965784.76359183,994700.09168795,845907.360066444,867613.774573623,888138.950961862,907447.131217837,925506.325014005,942292.231608128,957760.211451125,971880.033838632,984624.505115719,995963.462368941,1005875.0857176,1014334.50403862,1021327.02620543,1026835.52185124,1030860.9300006,1033386.20104082
2,0,,,,2,241766.9108797,249308.683153274,257082.880277795,265096.589108106,273357.110496882,337868.509948483,371113.926792486,406068.593782929,442727.786473827,398074.051795974,431209.241255154,465731.401114147,501632.265083152,538902.417096763,577533.948404982,617503.294225068,658791.163877194,701376.359808458,745231.401912425,790330.424492399,836640.868294627,884133.843580824,932774.252674026,982539.323906825,1033386.20104082
2,3,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,0.05,0,,1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2,4,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,0.2,0,,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
2,0,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,0.27,0,,1,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.27
