Inf,Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NaN,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NaN,NaN,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
-6.2686e-14,4.0746e-14,3.1343e-14,-7.8357e-15,-0,-0.0021166,-9.2098e-05,-0.00025787,-0,-1.842e-05,-3.9179e-16,0,-0,-0.099985,-0.6999,-0.19997,1,-8.2352e-05,-0.073014,-0.027005,-0.18898,-0,1.3223e-15,4.8973e-16,-0.22268,-0.19431,-0.0016498,-0.0090866,-3.1343e-15,1.4104e-14,5.8768e-15,-0.0097144,-0.071984,1.1754e-15,-0.009708,-7.0522e-15,-0.11074,-0.0018457,6.6956e-19,-0,-0,7.5223e-14,-3.9179e-16,-0.51096,-0.011554,-0.11074,-0.10002,-0.69994,0.0001475
4.3406e-10,9.7705e-11,3.2538e-10,1.0878e-10,-0,0,0,0,-0,0,6.2652e-12,0,-0,0.099623,0.69736,0.19925,6.5501e-12,1,0,0,0,-0,2.5084e-12,9.6565e-13,0,0,0,0,4.3879e-11,4.7879e-12,3.4303e-11,0,0,6.1028e-12,0,3.2631e-11,0,0,6.1285e-15,-0,-0,4.8923e-10,2.6263e-11,0,0,0,0,0,0.99623
-1.4504e-13,-9.8891e-15,-1.1208e-13,-1.4834e-14,-0,-0.01035,-0.00048801,-0.0012891,-0,-9.3532e-05,1.4391e-05,-0.0098692,-0,-2.9616e-05,-0.00020732,-5.9233e-05,-1.6482e-15,-0.00045372,-1.0005,1,-0.00038917,-0,1.0205e-05,3.7745e-06,0.52831,0.46099,0.016423,0.087429,0.0014091,0.00046971,0.00046971,0.023045,0.16569,0.0001644,0.023492,-2.8843e-14,0.26271,0.0094464,-2.8167e-18,-0,-0,-9.2298e-14,-7.4168e-15,-0.0010522,0.033103,0.26412,-0.00049544,-0.0014414,-0.00029616
1.6354e-14,6.5415e-15,3.2707e-14,-3.2707e-15,-0,0.0030288,0,0.00056329,-0,0,0,0.002897,-0,0,0,0,4.0884e-16,0,0,0,1,-0,0,0,0.53552,0.46728,0.032221,0.17096,0,0,0,0.023359,0.16227,0,0.023377,5.1105e-15,0.26629,0.015256,2.2458e-19,-0,-0,-3.2707e-15,-0,-0.99943,0.038617,0.26615,0,0.00057439,0
Inf,Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NaN,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NaN,NaN,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
3.3023e-15,1.5135e-15,3.3023e-15,1.032e-15,-0,0,9.8047e-06,5.1715e-05,-0,3.2379e-06,0,0,-0,3.1769e-07,2.2238e-06,6.3537e-07,1.29e-16,4.9359e-06,7.0964e-06,2.6247e-06,1.4127e-05,-0,0,0,0,0,-0.99982,1,0,0,0,0,0,0,0,4.4719e-16,0,0,2.0995e-20,-0,-0,1.1008e-14,2.4079e-16,3.8195e-05,0,0,9.7211e-06,5.2322e-05,3.1769e-06
-7.6235e-15,7.6235e-15,-0,-1.9059e-15,-0,-0.0057622,1,-1.0008,-0,-4.4143e-05,0,-0.0048242,-0,-8.9118e-06,-6.2383e-05,-1.7824e-05,7.7426e-16,-0.00016469,0.76325,0.2823,-0.27016,-0,0,0,0,0,0,0,-0.0016215,-0.0005405,-0.0005405,0,0,-0.00018917,0,2.3823e-16,0,0,-0,-0,-0,-2.287e-14,-7.147e-16,-0.73043,0,0,1.0455,-1.0006,-8.9118e-05
Inf,Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,Inf,Inf,Inf,NaN,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NaN,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,NaN,NaN,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
-2.5539e-13,-1.014e-13,-9.7649e-14,-5.258e-14,-0,0.011545,0,-0.99926,-0,1,3.1861e-05,0.010093,-0,1.7783e-05,0.00012448,3.5565e-05,-5.8683e-15,0.00031641,0,0,-0.26973,-0,1.5317e-05,5.6651e-06,0.39534,0.34496,0.02404,0.12766,0.0038065,0.0012688,0.0012688,0.017245,0.11981,0.0004441,0.018404,-1.784e-14,0.1966,0.011254,-3.6677e-18,-0,-0,-4.2064e-13,-1.9248e-14,-0.72928,0.030102,0.2004,0,-0.99901,0.00017783
