2,1157,1157,1157,1157,1157,1169.55,1182.1,1194.65,1207.2,1219.75,1232.3,1244.85,1257.4,1269.95,1282.5,1282.5,1282.5,1282.5,1282.5,1282.5,1282.5,1282.5,1282.5,1282.5,1282.5
2,810,810,810,810,810,824,838,852,866,880,894,908,922,936,950,950,950,950,950,950,950,950,950,950,950
3,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645,645
3,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637,637
2,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6
