2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
591407.123681025,603032.225871311,614351.744367766,625338.089328321,635975.894258657,646238.267793716,656109.494200674,665600.399873254,674736.828460993,683537.63884328,692005.624928173,700134.84966105,707927.75771146,715386.444510448,722513.354727565,729313.028463403,735791.402772586,741953.017755709,747801.016559336,753341.685476597,758577.81841555,763513.95547679,768151.493614345,772499.862267911,776563.950776588
0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005
267.593973758467,267.593973758467,267.593973758467,267.593973758467,267.593973758467,267.593973758467,267.593973758467,267.593973758467,267.593973758467,267.593973758467,267.593973758467,267.593973758467,267.593973758467,267.593973758467,267.593973758467,267.593973758467,267.593973758467,267.593973758467,267.593973758467,267.593973758467,267.593973758467,267.593973758467,267.593973758467,267.593973758467,267.593973758467
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17653486.1475157,18731820.122947,19825858.5851997,20933582.4519253,22053235.0192648,23180752.8564257,24326557.0981759,25480652.1974128,26642158.7655392,27448585.8706094,28606661.5580992,29768697.648934,30933601.6067287,32100335.3682221,33267899.0695749,34435333.8346261,35601758.3166905,36766307.2637855,37928162.1735741,39086621.1143653,40240850.0171858,41390089.2558302,42533496.5391748,43670583.5097688,44800683.9644431
2655552.92222143,2695386.21605475,2735817.00929557,2776854.264435,2818507.07840153,2860784.68457755,2903696.45484622,2947251.90166891,2991460.68019394,3036332.59039685,3081877.5792528,3128105.74294159,3175027.32908572,3222652.739022,3270992.53010733,3320057.41805894,3369858.27932983,3420406.15351977,3471712.24582257,3523787.92950991,3576644.74845256,3630294.41967935,3684748.83597454,3740020.06851415,3796120.36954186
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
17381172.4929769,17949267.7978777,18538132.4776668,19148509.8962926,19781105.4705521,23013670.9665131,25047349.5377986,27190672.5472138,29445868.2443374,31351294.3874464,33802161.5451075,36368756.2721086,39052580.2538089,41855057.5599101,44777517.6481209,47821194.2541715,50987286.3488651,54276880.8932121,57691005.2863892,61230718.6590519,64896743.8968011,68689764.5553871,72610181.3470373,76658830.9851894,80836130.7108373
